cell_id,longitude,latitude,stress_score,urbanization_component,vegetation_component,water_component,evidence_strength,stress_quartile,rank,mandal,nearest_place,nearest_place_distance_km
C_048_168,79.719059,13.346405,0.5461,0.2218,0.4612,0.9553,High (Multi-Source Convergence),Q4: Higher Relative Stress,62,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_048_169,79.728042,13.346405,0.5455,0.212,0.4246,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,63,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_050_036,78.527174,13.328439,0.5445,0.5944,1.0,0.039,High (Multi-Source Convergence),Q4: Higher Relative Stress,64,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_045_038,78.54514,13.373354,0.5413,0.6161,0.8666,0.1411,High (Multi-Source Convergence),Q4: Higher Relative Stress,65,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_053_050,78.652938,13.301489,0.5412,0.5428,0.9901,0.0907,High (Multi-Source Convergence),Q4: Higher Relative Stress,66,Peddapanjani,N/A (Requires Authoritative Settlement Gazetteer),
C_074_102,79.120062,13.112843,0.5397,0.6155,0.9202,0.0835,High (Multi-Source Convergence),Q4: Higher Relative Stress,67,Gudipala,N/A (Requires Authoritative Settlement Gazetteer),
C_045_168,79.719059,13.373354,0.5397,0.1572,0.5462,0.9156,Moderate (Compound Moisture/Vegetation Stress),Q4: Higher Relative Stress,68,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_045_035,78.518191,13.373354,0.5396,0.5147,0.9391,0.1651,High (Multi-Source Convergence),Q4: Higher Relative Stress,69,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_045_036,78.527174,13.373354,0.5376,0.5499,1.0,0.0629,High (Multi-Source Convergence),Q4: Higher Relative Stress,70,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_046_035,78.518191,13.364371,0.5375,0.6538,0.8557,0.1028,High (Multi-Source Convergence),Q4: Higher Relative Stress,71,Ramasamudram,N/A (Requires Authoritative Settlement Gazetteer),
